Andorra,1.601554,42.546245
UAE,53.847818,23.424076
Afghanistan,67.709953,33.93911
Anguilla,-63.068615,18.220554
Albania,20.168331,41.153332
Armenia,45.038189,40.069099
Angola,17.873887,-11.202692
Antarctica,-0.071389,-75.250973
Argentina,-63.616672,-38.416097
Austria,14.550072,47.516231
Australia,133.775136,-25.274398
Aruba,-69.968338,12.52111
Azerbaijan,47.576927,40.143105
Barbados,-59.543198,13.193887
Bangladesh,90.356331,23.684994
Belgium,4.469936,50.503887
Bulgaria,25.48583,42.733883
Bahrain,50.637772,25.930414
Burundi,29.918886,-3.373056
Benin,2.315834,9.30769
Bermuda,-64.75737,32.321384
Brunei,114.727669,4.535277
Bolivia,-63.588653,-16.290154
Brazil,-51.92528,-14.235004
Bahamas,-77.39628,25.03428
Bhutan,90.433601,27.514162
Bouvet Island,3.413194,-54.423199
Botswana,24.684866,-22.328474
Belarus,27.953389,53.709807
Belize,-88.49765,17.189877
Canada,-106.346771,56.130366
Switzerland,8.227512,46.818188
Chile,-71.542969,-35.675147
Cameroon,12.354722,7.369722
China,104.195397,35.86166
Colombia,-74.297333,4.570868
Costa Rica,-83.753428,9.748917
Cuba,-77.781167,21.521757
Cyprus,33.429859,35.126413
Germany,10.451526,51.165691
Djibouti,42.590275,11.825138
Denmark,9.501785,56.26392
Dominica,-61.370976,15.414999
Algeria,1.659626,28.033886
Ecuador,-78.183406,-1.831239
Estonia,25.013607,58.595272
Egypt,30.802498,26.820553
Eritrea,39.782334,15.179384
Spain,-3.74922,40.463667
Ethiopia,40.489673,9.145
Finland,25.748151,61.92411
Fiji,179.414413,-16.578193
Micronesia,150.550812,7.425554
Faroe Islands,-6.911806,61.892635
France,2.213749,46.227638
Gabon,11.609444,-0.803689
UK,-3.435973,55.378051
Grenada,-61.604171,12.262776
Georgia,43.356892,42.315407
Guernsey,-2.585278,49.465691
Ghana,-1.023194,7.946527
Gibraltar,-5.345374,36.137741
Greenland,-42.604303,71.706936
Gambia,-15.310139,13.443182
Guinea,-9.696645,9.945587
Guadeloupe,-62.067641,16.995971
Greece,21.824312,39.074208
Guatemala,-90.230759,15.783471
Guam,144.793731,13.444304
Guyana,-58.93018,4.860416
Honduras,-86.241905,15.199999
Croatia,15.2,45.1
Haiti,-72.285215,18.971187
Hungary,19.503304,47.162494
Indonesia,113.921327,-0.789275
Ireland,-8.24389,53.41291
Israel,34.851612,31.046051
India,78.96288,20.593684
Iraq,43.679291,33.223191
Iran,53.688046,32.427908
Iceland,-19.020835,64.963051
Italy,12.56738,41.87194
Jersey,-2.13125,49.214439
Jamaica,-77.297508,18.109581
Jordan,36.238414,30.585164
Japan,138.252924,36.204824
Kenya,37.906193,-0.023559
Kyrgyzstan,74.766098,41.20438
Cambodia,104.990963,12.565679
Kiribati,-168.734039,-3.370417
Comoros,43.872219,-11.875001
Laos,102.495496,19.85627
Lebanon,35.862285,33.854721
Saint Lucia,-60.978893,13.909444
Liechtenstein,9.555373,47.166
Sri Lanka,80.771797,7.873054
Liberia,-9.429499,6.428055
Lesotho,28.233608,-29.609988
Lithuania,23.881275,55.169438
Luxembourg,6.129583,49.815273
